mass,layer_height,filament,trial,defective
3.45,0.2,green,1,0
3.5,0.2,green,1,0
3.46,0.2,green,1,0
3.43,0.2,green,1,0
3.47,0.2,green,1,0
3.47,0.2,green,1,0
3.49,0.2,green,1,0
3.45,0.2,green,1,0
3.34,0.16,red,2,0
3.36,0.16,red,2,0
3.34,0.16,red,2,0
3.37,0.16,red,2,0
3.33,0.16,red,2,0
3.44,0.16,red,2,0
3.39,0.16,red,2,0
3.36,0.16,red,2,0
3.4,0.2,red,3,0
3.39,0.2,red,3,0
3.38,0.2,red,3,0
3.39,0.2,red,3,0
3.43,0.2,red,3,0
3.4,0.2,red,3,0
3.4,0.2,red,3,0
3.38,0.2,red,3,0
3.48,0.16,green,4,0
3.44,0.16,green,4,0
3.5,0.16,green,4,0
3.43,0.16,green,4,0
3.54,0.16,green,4,0
3.46,0.16,green,4,0
3.44,0.16,green,4,0
3.46,0.16,green,4,0
4.09,0.1,green,5,0
4.02,0.1,green,5,0
4.1,0.1,green,5,0
3.97,0.1,green,5,0
4.1,0.1,green,5,0
4.06,0.1,green,5,0
4.06,0.1,green,5,0
4.1,0.1,green,5,0
4.11,0.1,green,5,0
4.15,0.3,green,6,0
4.14,0.3,green,6,0
4.14,0.3,green,6,0
4.18,0.3,green,6,0
4.13,0.3,green,6,0
4.11,0.3,green,6,0
4.14,0.3,green,6,0
4.17,0.3,green,6,0
4.18,0.3,green,6,0
4.15,0.3,green,6,0
4.31,0.4,green,7,0
4.3,0.4,green,7,0
4.26,0.4,green,7,0
4.28,0.4,green,7,0
4.25,0.4,green,7,0
4.26,0.4,green,7,0
4.3,0.4,green,7,0
4.3,0.4,green,7,0
4.28,0.4,green,7,0
4,0.4,green,8,1
4.34,0.4,green,8,1
4.31,0.4,green,8,1
4.21,0.4,green,8,1
4.22,0.4,green,8,1
4.2,0.4,green,8,1
4.32,0.4,green,8,1
4.31,0.4,green,8,1
4.34,0.4,green,8,1
4.32,0.4,green,9,0
4.34,0.4,green,9,0
4.38,0.4,green,9,0
4.34,0.4,green,9,0
4.33,0.4,green,9,0
4.33,0.4,green,9,0
4.36,0.4,green,9,0
4.29,0.4,green,9,0
4.36,0.4,green,9,0
4.48,0.5,green,10,0
4.53,0.5,green,10,0
4.56,0.5,green,10,0
4.55,0.5,green,10,0
4.59,0.5,green,10,0
4.58,0.5,green,10,0
4.57,0.5,green,10,0
4.53,0.5,green,10,0
4.52,0.5,green,11,0
4.51,0.5,green,11,0
4.52,0.5,green,11,0
4.52,0.5,green,11,0
4.56,0.5,green,11,0
4.55,0.5,green,11,0
4.54,0.5,green,11,0
4.58,0.5,green,11,0
4.52,0.5,green,11,0
4,0.1,red,12,0
3.98,0.1,red,12,0
3.98,0.1,red,12,0
3.96,0.1,red,12,0
4.02,0.1,red,12,0
3.94,0.1,red,12,0
4,0.1,red,12,0
3.98,0.1,red,12,0
3.95,0.1,red,12,0
3.95,0.1,red,12,0
4.36,0.4,red,13,0
4.31,0.4,red,13,0
4.32,0.4,red,13,0
4.31,0.4,red,13,0
4.29,0.4,red,13,0
4.34,0.4,red,13,0
4.32,0.4,red,13,0
4.36,0.4,red,13,0
4.36,0.4,red,13,0
4.16,0.3,red,14,0
4.14,0.3,red,14,0
4.13,0.3,red,14,0
4.14,0.3,red,14,0
4.15,0.3,red,14,0
4.18,0.3,red,14,0
4.15,0.3,red,14,0
4.16,0.3,red,14,0
4.15,0.3,red,14,0
4.15,0.3,red,14,0
4.53,0.5,red,15,0
4.49,0.5,red,15,0
4.49,0.5,red,15,0
4.51,0.5,red,15,0
4.5,0.5,red,15,0
4.53,0.5,red,15,0
4.52,0.5,red,15,0
4.54,0.5,red,15,0
3.96,0.5,red,16,1
4,0.5,red,16,1
4.01,0.5,red,16,1
4.01,0.5,red,16,1
4.02,0.5,red,16,1
3.95,0.5,red,16,1
3.97,0.5,red,16,1
3.98,0.5,red,16,1
3.96,0.5,red,16,1
4.2,0.3,red,17,0
4.2,0.3,red,17,0
4.18,0.3,red,17,0
4.18,0.3,red,17,0
4.21,0.3,red,17,0
4.23,0.3,red,17,0
4.18,0.3,red,17,0
4.23,0.3,red,17,0
4.18,0.3,red,17,0
4.21,0.3,red,17,0
3.59,0.16,red,18,0
3.49,0.16,red,18,0
3.52,0.16,red,18,0
3.5,0.16,red,18,0
3.49,0.16,red,18,0
3.54,0.16,red,18,0
3.51,0.16,red,18,0
3.53,0.16,red,18,0
